algorithm,seed,exp_name,phase,args_id,n_train_domains,sample_size_per_domain,imbalance_type,train_envs,train_env_sizes,test_env,metric,model_selection,value
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,acc,best,0.686
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,acc,final,0.686
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,loss,best,0.641679435968399
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,loss,final,0.6416794955730438
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,acc,best,0.6907
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,acc,final,0.6907
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,loss,best,0.6199818253517151
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,loss,final,0.6199818253517151
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.4,acc,best,0.6903
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.4,acc,final,0.6903
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.4,loss,best,0.6191832423210144
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.4,loss,final,0.6191832721233368
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.5,acc,best,0.7028
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.5,acc,final,0.7028
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.5,loss,best,0.6112898290157318
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.5,loss,final,0.6112898290157318
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.6,acc,best,0.6851
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.6,acc,final,0.6851
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.6,loss,best,0.6232615113258362
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.6,loss,final,0.6232614815235138
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.7,acc,best,0.6837
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.7,acc,final,0.6837
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.7,loss,best,0.625433474779129
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.7,loss,final,0.625433474779129
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.8,acc,best,0.701
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.8,acc,final,0.701
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.8,loss,best,0.6113311648368835
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.8,loss,final,0.6113311350345612
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.9,acc,best,0.6985
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.9,acc,final,0.6985
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.9,loss,best,0.6119339466094971
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.9,loss,final,0.6119339466094971
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,1.0,acc,best,0.6904
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,1.0,acc,final,0.6904
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,1.0,loss,best,0.6191945672035217
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,1.0,loss,final,0.619194507598877
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,avg_domain,acc,best,0.6900636363636364
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,worst_domain,acc,best,0.6768
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,best_domain,acc,best,0.7028
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,avg_domain,acc,final,0.6900636363636364
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,worst_domain,acc,final,0.6768
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,best_domain,acc,final,0.7028
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,acc,best,0.7602
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,acc,final,0.7549
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,loss,best,0.4810497313737869
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,loss,final,0.5195153653621674
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,acc,best,0.7491
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,acc,final,0.7378
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,loss,best,0.5074209421873093
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,loss,final,0.5452406406402588
