condition,algorithm,seed,lambda,domain_id,train_count,test_accuracy,loss,empirical_weight,deployment_weight,source,alpha_eval,head_domain_id,tail_domain_id,is_head_domain,is_tail_domain
missing_tail,inftask,4,,0.9,0,0.4364,0.8591981828212738,0.0,0.25,main_eval,,0.1,0.9,0,1
balanced_visible,erm,0,,0.1,2000,0.7411,0.5339074730873108,0.25,0.25,main_eval,,0.1,0.9,1,0
balanced_visible,erm,0,,0.2,2000,0.725,0.5630908310413361,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,erm,0,,0.5,2000,0.6897,0.6250891983509064,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,erm,0,,0.9,2000,0.6348,0.7276684045791626,0.25,0.25,main_eval,,0.1,0.9,0,1
near_missing_tail,inftask,4,,0.1,5800,0.818,0.5385042428970337,0.725,0.25,main_eval,,0.1,0.9,1,0
near_missing_tail,inftask,4,,0.2,1800,0.7693,0.5662254989147186,0.225,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,inftask,4,,0.5,350,0.6285,0.6600014269351959,0.04375,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,inftask,4,,0.9,50,0.4483,0.8358116149902344,0.00625,0.25,main_eval,,0.1,0.9,0,1
near_missing_tail,iro,3,,0.1,5800,0.7955,0.6465946733951569,0.725,0.25,main_eval,,0.1,0.9,1,0
near_missing_tail,iro,3,,0.2,1800,0.7391,0.6556559801101685,0.225,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,iro,3,,0.5,350,0.5789,0.6759134232997894,0.04375,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,iro,3,,0.9,50,0.477,0.7028081715106964,0.00625,0.25,main_eval,,0.1,0.9,0,1
long_tail_visible,erm,4,,0.1,5000,0.843,0.5201413929462433,0.625,0.25,main_eval,,0.1,0.9,1,0
long_tail_visible,erm,4,,0.2,2000,0.7744,0.8362830281257629,0.25,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,erm,4,,0.5,800,0.555,1.8291349411010742,0.1,0.25,main_eval,,0.1,0.9,0,0
