checkpoint_path,algorithm,seed,test_env,lambda_used,oracle_lambda,metric,oracle_value,used_value,used_deployment_mean_accuracy,oracle_deployment_mean_accuracy,deployment_wide_pseudo_regret,pseudo_regret,regret_type,true_regret
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.1,0.0,0.8,accuracy,0.6863400000000001,0.7728,0.6544000000000001,0.6863400000000001,0.03193999999999997,0.03193999999999997,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.1,0.1,0.8,accuracy,0.6863400000000001,0.7806,0.6555,0.6863400000000001,0.03084000000000009,0.03084000000000009,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.1,0.2,0.8,accuracy,0.6863400000000001,0.7614,0.6571999999999999,0.6863400000000001,0.029140000000000166,0.029140000000000166,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.1,0.3,0.8,accuracy,0.6863400000000001,0.7409,0.66576,0.6863400000000001,0.020580000000000043,0.020580000000000043,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.1,0.4,0.8,accuracy,0.6863400000000001,0.7248,0.67278,0.6863400000000001,0.013560000000000016,0.013560000000000016,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.1,0.5,0.8,accuracy,0.6863400000000001,0.7073,0.6782600000000001,0.6863400000000001,0.008079999999999976,0.008079999999999976,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.1,0.6,0.8,accuracy,0.6863400000000001,0.6965,0.68232,0.6863400000000001,0.0040200000000000236,0.0040200000000000236,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.1,0.7,0.8,accuracy,0.6863400000000001,0.6893,0.68462,0.6863400000000001,0.0017200000000000548,0.0017200000000000548,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.1,0.8,0.8,accuracy,0.6863400000000001,0.6864,0.6863400000000001,0.6863400000000001,0.0,0.0,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.1,0.9,0.8,accuracy,0.6863400000000001,0.6844,0.6863,0.6863400000000001,4.0000000000040004e-05,4.0000000000040004e-05,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.1,1.0,0.8,accuracy,0.6863400000000001,0.6821,0.6859999999999999,0.6863400000000001,0.000340000000000118,0.000340000000000118,same_checkpoint_deployment_wide_lambda_oracle,
