checkpoint_path,algorithm,seed,test_env,lambda_used,oracle_lambda,metric,oracle_value,used_value,used_deployment_mean_accuracy,oracle_deployment_mean_accuracy,deployment_wide_pseudo_regret,pseudo_regret,regret_type,true_regret
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.5,0.0,0.8,accuracy,0.6863400000000001,0.6569,0.6544000000000001,0.6863400000000001,0.03193999999999997,0.03193999999999997,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.5,0.1,0.8,accuracy,0.6863400000000001,0.659,0.6555,0.6863400000000001,0.03084000000000009,0.03084000000000009,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.5,0.2,0.8,accuracy,0.6863400000000001,0.6636,0.6571999999999999,0.6863400000000001,0.029140000000000166,0.029140000000000166,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.5,0.3,0.8,accuracy,0.6863400000000001,0.6706,0.66576,0.6863400000000001,0.020580000000000043,0.020580000000000043,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.5,0.4,0.8,accuracy,0.6863400000000001,0.6758,0.67278,0.6863400000000001,0.013560000000000016,0.013560000000000016,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.5,0.5,0.8,accuracy,0.6863400000000001,0.6805,0.6782600000000001,0.6863400000000001,0.008079999999999976,0.008079999999999976,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.5,0.6,0.8,accuracy,0.6863400000000001,0.6845,0.68232,0.6863400000000001,0.0040200000000000236,0.0040200000000000236,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.5,0.7,0.8,accuracy,0.6863400000000001,0.6869,0.68462,0.6863400000000001,0.0017200000000000548,0.0017200000000000548,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.5,0.8,0.8,accuracy,0.6863400000000001,0.6884,0.6863400000000001,0.6863400000000001,0.0,0.0,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.5,0.9,0.8,accuracy,0.6863400000000001,0.6881,0.6863,0.6863400000000001,4.0000000000040004e-05,4.0000000000040004e-05,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.5,1.0,0.8,accuracy,0.6863400000000001,0.6869,0.6859999999999999,0.6863400000000001,0.000340000000000118,0.000340000000000118,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.9,0.0,0.8,accuracy,0.6863400000000001,0.5365,0.6544000000000001,0.6863400000000001,0.03193999999999997,0.03193999999999997,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.9,0.1,0.8,accuracy,0.6863400000000001,0.5302,0.6555,0.6863400000000001,0.03084000000000009,0.03084000000000009,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.9,0.2,0.8,accuracy,0.6863400000000001,0.5498,0.6571999999999999,0.6863400000000001,0.029140000000000166,0.029140000000000166,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.9,0.3,0.8,accuracy,0.6863400000000001,0.5882,0.66576,0.6863400000000001,0.020580000000000043,0.020580000000000043,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.9,0.4,0.8,accuracy,0.6863400000000001,0.6176,0.67278,0.6863400000000001,0.013560000000000016,0.013560000000000016,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.9,0.5,0.8,accuracy,0.6863400000000001,0.6468,0.6782600000000001,0.6863400000000001,0.008079999999999976,0.008079999999999976,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.9,0.6,0.8,accuracy,0.6863400000000001,0.666,0.68232,0.6863400000000001,0.0040200000000000236,0.0040200000000000236,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.9,0.7,0.8,accuracy,0.6863400000000001,0.6779,0.68462,0.6863400000000001,0.0017200000000000548,0.0017200000000000548,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.9,0.8,0.8,accuracy,0.6863400000000001,0.6845,0.6863400000000001,0.6863400000000001,0.0,0.0,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.9,0.9,0.8,accuracy,0.6863400000000001,0.6866,0.6863,0.6863400000000001,4.0000000000040004e-05,4.0000000000040004e-05,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.9,1.0,0.8,accuracy,0.6863400000000001,0.689,0.6859999999999999,0.6863400000000001,0.000340000000000118,0.000340000000000118,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,1.0,0.0,0.8,accuracy,0.6863400000000001,0.5034,0.6544000000000001,0.6863400000000001,0.03193999999999997,0.03193999999999997,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,1.0,0.1,0.8,accuracy,0.6863400000000001,0.4984,0.6555,0.6863400000000001,0.03084000000000009,0.03084000000000009,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,1.0,0.2,0.8,accuracy,0.6863400000000001,0.5246,0.6571999999999999,0.6863400000000001,0.029140000000000166,0.029140000000000166,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,1.0,0.3,0.8,accuracy,0.6863400000000001,0.5684,0.66576,0.6863400000000001,0.020580000000000043,0.020580000000000043,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,1.0,0.4,0.8,accuracy,0.6863400000000001,0.6046,0.67278,0.6863400000000001,0.013560000000000016,0.013560000000000016,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,1.0,0.5,0.8,accuracy,0.6863400000000001,0.6386,0.6782600000000001,0.6863400000000001,0.008079999999999976,0.008079999999999976,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,1.0,0.6,0.8,accuracy,0.6863400000000001,0.6614,0.68232,0.6863400000000001,0.0040200000000000236,0.0040200000000000236,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,1.0,0.7,0.8,accuracy,0.6863400000000001,0.6752,0.68462,0.6863400000000001,0.0017200000000000548,0.0017200000000000548,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,1.0,0.8,0.8,accuracy,0.6863400000000001,0.6827,0.6863400000000001,0.6863400000000001,0.0,0.0,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,1.0,0.9,0.8,accuracy,0.6863400000000001,0.6852,0.6863,0.6863400000000001,4.0000000000040004e-05,4.0000000000040004e-05,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,1.0,1.0,0.8,accuracy,0.6863400000000001,0.6878,0.6859999999999999,0.6863400000000001,0.000340000000000118,0.000340000000000118,same_checkpoint_deployment_wide_lambda_oracle,
