n_domains,sample_size,exponent,missing_tail_fraction,alpha,tradeoff,repetitions,reversal_probability,observed_tail_probability,mean_empirical_tail_weight,mean_deployment_gap,mean_empirical_gap,head_favored_empirical_wins,tail_favored_empirical_wins
10,8192,1.0,0.1,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.24407812921418132,1000,0
10,8192,2.0,0.1,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.40349360487196184,1000,0
10,8192,0.0,0.2,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.061262645317904735,1000,0
10,8192,0.5,0.2,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.17063732386753752,1000,0
10,8192,1.0,0.2,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.26070514961329705,1000,0
10,8192,2.0,0.2,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.40666663953993054,1000,0
10,8192,0.0,0.3,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.11665431862765964,1000,0
10,8192,0.5,0.3,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.1943678342404403,1000,0
10,8192,1.0,0.3,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.2777296952612836,1000,0
10,8192,2.0,0.3,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.41027044677734376,1000,0
10,32,0.0,0.0,0.75,0.5,1000,0.153,0.963,0.10115625,0.04999999999999982,0.059251440956465416,153,847
10,32,0.5,0.0,0.75,0.5,1000,0.724,0.896,0.06565625,0.04999999999999982,0.04567913414653611,724,276
10,32,1.0,0.0,0.75,0.5,1000,0.991,0.661,0.032625,0.04999999999999982,0.13000485838455397,991,9
10,32,2.0,0.0,0.75,0.5,1000,1.0,0.166,0.00575,0.04999999999999982,0.3206004762290656,1000,0
10,32,0.0,0.1,0.75,0.5,1000,0.566,0.0,0.0,0.04999999999999982,0.03575395052931817,566,434
10,32,0.5,0.1,0.75,0.5,1000,0.964,0.0,0.0,0.04999999999999982,0.08055749646141805,964,36
10,32,1.0,0.1,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.16030423351659812,1000,0
10,32,2.0,0.1,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.3269309479667936,1000,0
10,32,0.0,0.2,0.75,0.5,1000,0.951,0.0,0.0,0.04999999999999982,0.06442608519385482,951,49
