n_domains,sample_size,exponent,missing_mass_epsilon,requested_missing_tail_fraction,alpha,tradeoff,repetitions,analytical_delta_id,simulated_lower_cvar,simulated_upper_cvar,simulated_interval_width,empirical_interval_width_mean,empirical_interval_width_p05,empirical_interval_width_p95,empirical_cvar_lower_mean,empirical_cvar_upper_mean
10,32,0.0,0.2,0.2,0.9,0.5,1000,1.0,0.5888888888888888,1.0,0.4111111111111112,0.06104182037098711,0.01666666666666672,0.10432098765432096,0.5739011764470097,0.6342774324440993
10,32,0.5,0.2,0.2,0.9,0.5,1000,1.0,0.5888888888888888,1.0,0.4111111111111112,0.09286284194200868,0.06111111111111123,0.15000000000000002,0.5553027802444469,0.6481656221864557
10,32,1.0,0.2,0.2,0.9,0.5,1000,1.0,0.5888888888888888,1.0,0.4111111111111112,0.12760339799089807,0.06111111111111134,0.2092592592592593,0.522396602009102,0.6500000000000002
10,32,2.0,0.2,0.2,0.9,0.5,1000,1.0,0.5888888888888888,1.0,0.4111111111111112,0.2525209438324022,0.14416666666666672,0.36463675213675206,0.3974790561675978,0.6500000000000002
10,32,0.0,0.3,0.3,0.9,0.5,1000,1.0,0.5333333333333333,1.0,0.4666666666666667,0.11845157882241215,0.07390788224121564,0.15987654320987654,0.520812201378868,0.6392637802012803
10,32,0.5,0.3,0.3,0.9,0.5,1000,1.0,0.5333333333333333,1.0,0.4666666666666667,0.14226947620280953,0.1166666666666667,0.19444444444444448,0.5072508136924804,0.64952028989529
10,32,1.0,0.3,0.3,0.9,0.5,1000,1.0,0.5333333333333333,1.0,0.4666666666666667,0.1704211438253105,0.1166666666666667,0.2437830687830688,0.4795361211319545,0.6499572649572651
10,32,2.0,0.3,0.3,0.9,0.5,1000,1.0,0.5333333333333333,1.0,0.4666666666666667,0.2758737336737337,0.18277777777777782,0.36975308641975313,0.37412626632626633,0.6500000000000002
10,128,0.0,0.0,0.0,0.5,0.5,1000,0.0,0.5111111111111112,0.5611111111111111,0.04999999999999993,0.049543031429306265,0.004829253297563002,0.0949072507759632,0.5716313464184759,0.5231207518299374
10,128,0.5,0.0,0.0,0.5,0.5,1000,0.0,0.5111111111111112,0.5611111111111111,0.04999999999999993,0.07120297964272286,0.009180199430199293,0.13734691854915373,0.5107611001599496,0.581282486053843
10,128,1.0,0.0,0.0,0.5,0.5,1000,0.0,0.5111111111111112,0.5611111111111111,0.04999999999999993,0.20505983149344267,0.14370566370566373,0.2493224980853552,0.41824543414742327,0.623305265640866
10,128,2.0,0.0,0.0,0.5,0.5,1000,0.0,0.5111111111111112,0.5611111111111111,0.04999999999999993,0.4006475785499223,0.3861979166666667,0.4135416666666667,0.24933663862179486,0.6499842171717173
10,128,0.0,0.1,0.1,0.5,0.5,1000,0.2,0.5055555555555556,0.6157407407407408,0.11018518518518516,0.021667057924198894,0.0010863014857129816,0.071650641025641,0.5307917795203426,0.5371826801126377
10,128,0.5,0.1,0.1,0.5,0.5,1000,0.2,0.5055555555555556,0.6157407407407408,0.11018518518518516,0.10969685035816021,0.07013427544677553,0.1631488411488411,0.4778149569109139,0.5874631816399607
10,128,1.0,0.1,0.1,0.5,0.5,1000,0.2,0.5055555555555556,0.6157407407407408,0.11018518518518516,0.2291814974910687,0.16552221357696548,0.2640290091689739,0.39705778535786296,0.6262392828489317
10,128,2.0,0.1,0.1,0.5,0.5,1000,0.2,0.5055555555555556,0.6157407407407408,0.11018518518518516,0.4034679057921246,0.3901041666666667,0.41571180555555554,0.2465122529380342,0.6499801587301589
10,128,0.0,0.2,0.2,0.5,0.5,1000,0.4,0.45000000000000007,0.7111111111111111,0.26111111111111107,0.06284167814123695,0.020457240691395782,0.10314380943782357,0.4882339417767031,0.55107561991794
10,128,0.5,0.2,0.2,0.5,0.5,1000,0.4,0.45000000000000007,0.7111111111111111,0.26111111111111107,0.1556903151328627,0.10330292043753792,0.1878764476433359,0.4408175168057075,0.5965078319385702
10,128,1.0,0.2,0.2,0.5,0.5,1000,0.4,0.45000000000000007,0.7111111111111111,0.26111111111111107,0.2537298586220867,0.1909700906394653,0.27671793384759663,0.37490241254738904,0.6286322711694757
10,128,2.0,0.2,0.2,0.5,0.5,1000,0.4,0.45000000000000007,0.7111111111111111,0.26111111111111107,0.40709939236111115,0.3948784722222223,0.4178819444444445,0.24290060763888885,0.6500000000000002
10,128,0.0,0.3,0.3,0.5,0.5,1000,0.6,0.3944444444444445,0.7972222222222222,0.4027777777777777,0.11538114349374197,0.05880949282720621,0.15152562162749972,0.44938895145216634,0.5647700949459084
10,128,0.5,0.3,0.3,0.5,0.5,1000,0.6,0.3944444444444445,0.7972222222222222,0.4027777777777777,0.19518481528142687,0.15529163145205668,0.24881751686187167,0.4082995947048994,0.6034844099863262
10,128,1.0,0.3,0.3,0.5,0.5,1000,0.6,0.3944444444444445,0.7972222222222222,0.4027777777777777,0.27655333661216186,0.25564971772250267,0.29349837965194536,0.35401628366658766,0.6305696202787494
10,128,2.0,0.3,0.3,0.5,0.5,1000,0.6,0.3944444444444445,0.7972222222222222,0.4027777777777777,0.4103603289327094,0.39921875,0.4204861111111111,0.2396178845749158,0.6499782135076255
10,128,0.0,0.0,0.0,0.75,0.5,1000,0.0,0.5944444444444444,0.6444444444444443,0.04999999999999982,0.0517004012432227,0.012932775758862697,0.09060065894507377,0.6419961231429537,0.5906502549419731
10,128,0.5,0.0,0.0,0.75,0.5,1000,0.0,0.5944444444444444,0.6444444444444443,0.04999999999999982,0.028315560772198226,0.002239312276077077,0.07090278369348157,0.6023455619633726,0.6274265619704227
10,128,1.0,0.0,0.0,0.75,0.5,1000,0.0,0.5944444444444444,0.6444444444444443,0.04999999999999982,0.1158231449630556,0.06611993514046785,0.1695767195767196,0.5337190424675267,0.6495421874305823
10,128,2.0,0.0,0.0,0.75,0.5,1000,0.0,0.5944444444444444,0.6444444444444443,0.04999999999999982,0.30914236362845765,0.2745580808080808,0.33759977031294863,0.3408576363715424,0.6500000000000002
10,128,0.0,0.1,0.1,0.75,0.5,1000,0.4,0.5888888888888888,0.748148148148148,0.1592592592592592,0.016969458651483273,0.0009248492678725907,0.04416185666185678,0.5918000666892691,0.5975540126941901
10,128,0.5,0.1,0.1,0.75,0.5,1000,0.4,0.5888888888888888,0.748148148148148,0.1592592592592592,0.07003061290066186,0.03219131086778154,0.10844314489928522,0.5591461580891441,0.6291767709898058
10,128,1.0,0.1,0.1,0.75,0.5,1000,0.4,0.5888888888888888,0.748148148148148,0.1592592592592592,0.14942142382029217,0.10684789067142016,0.1926435690555292,0.5004455841761183,0.6498670079964106
10,128,2.0,0.1,0.1,0.75,0.5,1000,0.4,0.5888888888888888,0.748148148148148,0.1592592592592592,0.3165822473639855,0.2863323850165956,0.34244286840031524,0.3334177526360145,0.6500000000000002
