repetition,deployment_winner,empirical_winner,reversal,deployment_gap,empirical_gap,missing_domains,observed_tail,empirical_tail_weight
42,tail_favored,tail_favored,0,0.04999999999999993,0.036983360171765955,0,1,0.09375
43,tail_favored,head_favored,1,0.04999999999999993,0.04166666666666663,0,1,0.0625
44,tail_favored,tail_favored,0,0.04999999999999993,0.10862573099415196,0,1,0.1875
45,tail_favored,head_favored,1,0.04999999999999993,0.059114015976761136,0,0,0.0
46,tail_favored,head_favored,1,0.04999999999999993,0.05956312349501203,0,1,0.0625
47,tail_favored,tail_favored,0,0.04999999999999993,0.039680082559339414,0,1,0.09375
48,tail_favored,tail_favored,0,0.04999999999999993,0.0280319535221496,0,1,0.09375
49,tail_favored,tail_favored,0,0.04999999999999993,0.020588235294117574,0,1,0.125
50,tail_favored,head_favored,1,0.04999999999999993,0.007915758896151148,0,1,0.09375
51,tail_favored,tail_favored,0,0.04999999999999993,0.03888888888888886,0,1,0.15625
52,tail_favored,tail_favored,0,0.04999999999999993,0.08267973856209143,0,1,0.09375
53,tail_favored,tail_favored,0,0.04999999999999993,0.09320987654320972,0,1,0.09375
54,tail_favored,tail_favored,0,0.04999999999999993,0.06960784313725488,0,1,0.09375
55,tail_favored,tail_favored,0,0.04999999999999993,0.007172342621258987,0,1,0.0625
56,tail_favored,tail_favored,0,0.04999999999999993,0.026120857699804934,0,1,0.03125
57,tail_favored,tail_favored,0,0.04999999999999993,0.02839506172839501,0,1,0.125
58,tail_favored,tail_favored,0,0.04999999999999993,0.14412419938735715,0,0,0.0
59,tail_favored,tail_favored,0,0.04999999999999993,0.05944081336238194,0,1,0.09375
60,tail_favored,tail_favored,0,0.04999999999999993,0.029188166494668044,0,1,0.09375
61,tail_favored,tail_favored,0,0.04999999999999993,0.0654320987654321,0,1,0.125
62,tail_favored,tail_favored,0,0.04999999999999993,0.005182072829131745,0,1,0.15625
63,tail_favored,tail_favored,0,0.04999999999999993,0.15354317165462678,0,1,0.1875
64,tail_favored,tail_favored,0,0.04999999999999993,0.0021843825249397986,0,1,0.0625
65,tail_favored,tail_favored,0,0.04999999999999993,0.06461988304093558,0,1,0.09375
66,tail_favored,tail_favored,0,0.04999999999999993,0.026770630279402186,0,1,0.09375
67,tail_favored,tail_favored,0,0.04999999999999993,0.06820987654320976,0,1,0.15625
68,tail_favored,tail_favored,0,0.04999999999999993,0.10555555555555557,0,1,0.09375
69,tail_favored,tail_favored,0,0.04999999999999993,0.0778637770897832,0,1,0.0625
70,tail_favored,tail_favored,0,0.04999999999999993,0.0831699346405228,0,1,0.15625
71,tail_favored,tail_favored,0,0.04999999999999993,0.08415032679738554,0,1,0.125
72,tail_favored,tail_favored,0,0.04999999999999993,0.042063492063492025,0,1,0.09375
73,tail_favored,tail_favored,0,0.04999999999999993,0.11416504223521762,0,1,0.125
74,tail_favored,tail_favored,0,0.04999999999999993,0.023856209150326824,0,1,0.15625
75,tail_favored,tail_favored,0,0.04999999999999993,0.11844589687726936,0,1,0.125
76,tail_favored,tail_favored,0,0.04999999999999993,0.06699346405228751,0,1,0.15625
77,tail_favored,head_favored,1,0.04999999999999993,0.02189542483660134,0,1,0.09375
78,tail_favored,tail_favored,0,0.04999999999999993,0.012037037037037068,0,1,0.0625
79,tail_favored,head_favored,1,0.04999999999999993,0.07480547774665425,0,1,0.0625
80,tail_favored,tail_favored,0,0.04999999999999993,0.09117647058823525,0,1,0.125
81,tail_favored,head_favored,1,0.04999999999999993,0.021713870733478857,0,1,0.03125
82,tail_favored,tail_favored,0,0.04999999999999993,0.04413580246913562,0,1,0.03125
83,tail_favored,tail_favored,0,0.04999999999999993,0.08990368077055377,0,1,0.09375
84,tail_favored,tail_favored,0,0.04999999999999993,0.025308641975308466,0,1,0.03125
85,tail_favored,head_favored,1,0.04999999999999993,0.013562091503267926,0,1,0.09375
86,tail_favored,tail_favored,0,0.04999999999999993,0.14975920192638453,0,1,0.125
87,tail_favored,tail_favored,0,0.04999999999999993,0.08031953522149582,0,1,0.0625
88,tail_favored,tail_favored,0,0.04999999999999993,0.07033405954974581,0,1,0.03125
89,tail_favored,tail_favored,0,0.04999999999999993,0.06870007262164124,0,1,0.09375
90,tail_favored,tail_favored,0,0.04999999999999993,0.044964262508122244,0,1,0.09375
91,tail_favored,tail_favored,0,0.04999999999999993,0.020597790773229097,0,1,0.1875
92,tail_favored,head_favored,1,0.04999999999999993,0.012745098039215752,0,1,0.1875
93,tail_favored,tail_favored,0,0.04999999999999993,0.06575698505523064,0,1,0.125
94,tail_favored,head_favored,1,0.04999999999999993,0.05354317165462685,0,1,0.03125
95,tail_favored,tail_favored,0,0.04999999999999993,0.16781045751633983,0,1,0.15625
96,tail_favored,head_favored,1,0.04999999999999993,0.04779077322936964,0,1,0.0625
97,tail_favored,tail_favored,0,0.04999999999999993,0.04025341130604265,0,1,0.0625
98,tail_favored,head_favored,1,0.04999999999999993,0.01790123456790127,0,1,0.03125
99,tail_favored,tail_favored,0,0.04999999999999993,0.06459034792368112,0,1,0.09375
100,tail_favored,head_favored,1,0.04999999999999993,0.02253086419753092,0,1,0.09375
101,tail_favored,head_favored,1,0.04999999999999993,0.03627450980392144,0,1,0.09375
102,tail_favored,tail_favored,0,0.04999999999999993,0.1741830065359477,0,1,0.125
103,tail_favored,tail_favored,0,0.04999999999999993,0.012962962962963065,0,1,0.15625
104,tail_favored,tail_favored,0,0.04999999999999993,0.07500000000000007,0,1,0.09375
105,tail_favored,tail_favored,0,0.04999999999999993,0.09028589993502267,0,1,0.125
106,tail_favored,tail_favored,0,0.04999999999999993,0.0032085561497325887,0,1,0.03125
107,tail_favored,tail_favored,0,0.04999999999999993,0.07683178534571722,0,1,0.09375
108,tail_favored,head_favored,1,0.04999999999999993,0.005555555555555647,0,1,0.03125
109,tail_favored,tail_favored,0,0.04999999999999993,0.010268317853457054,0,1,0.0625
110,tail_favored,tail_favored,0,0.04999999999999993,0.10263157894736841,0,1,0.1875
111,tail_favored,tail_favored,0,0.04999999999999993,0.09012345679012329,0,1,0.125
112,tail_favored,tail_favored,0,0.04999999999999993,0.2536089798238135,0,1,0.1875
113,tail_favored,head_favored,1,0.04999999999999993,0.008187134502923965,0,1,0.09375
114,tail_favored,tail_favored,0,0.04999999999999993,0.10246913580246902,0,1,0.09375
115,tail_favored,tail_favored,0,0.04999999999999993,0.08783969728242169,0,1,0.1875
116,tail_favored,tail_favored,0,0.04999999999999993,0.05980392156862746,0,1,0.125
117,tail_favored,tail_favored,0,0.04999999999999993,0.014542483660130667,0,1,0.125
118,tail_favored,head_favored,1,0.04999999999999993,0.059324236517219076,0,1,0.09375
119,tail_favored,tail_favored,0,0.04999999999999993,0.004793028322440107,0,1,0.0625
120,tail_favored,tail_favored,0,0.04999999999999993,0.09012345679012335,0,1,0.09375
121,tail_favored,tail_favored,0,0.04999999999999993,0.03148148148148133,0,1,0.09375
122,tail_favored,tail_favored,0,0.04999999999999993,0.16695906432748542,0,1,0.21875
123,tail_favored,tail_favored,0,0.04999999999999993,0.09353476283300832,0,1,0.15625
124,tail_favored,tail_favored,0,0.04999999999999993,0.058771929824561475,0,1,0.0625
125,tail_favored,tail_favored,0,0.04999999999999993,0.015167548500881867,0,1,0.03125
126,tail_favored,tail_favored,0,0.04999999999999993,0.05060125060125048,0,1,0.09375
127,tail_favored,head_favored,1,0.04999999999999993,0.022984749455337794,0,1,0.15625
128,tail_favored,tail_favored,0,0.04999999999999993,0.11944444444444446,0,1,0.125
129,tail_favored,tail_favored,0,0.04999999999999993,0.007172342621258987,0,1,0.03125
130,tail_favored,head_favored,1,0.04999999999999993,0.05623781676413275,0,1,0.09375
131,tail_favored,tail_favored,0,0.04999999999999993,0.08525016244314476,0,1,0.125
132,tail_favored,tail_favored,0,0.04999999999999993,0.03302469135802466,0,1,0.0625
133,tail_favored,tail_favored,0,0.04999999999999993,0.09999999999999992,0,1,0.09375
134,tail_favored,tail_favored,0,0.04999999999999993,0.08801169590643282,0,1,0.15625
135,tail_favored,tail_favored,0,0.04999999999999993,0.07287581699346413,0,1,0.125
136,tail_favored,head_favored,1,0.04999999999999993,0.022751322751322745,0,1,0.125
137,tail_favored,tail_favored,0,0.04999999999999993,0.008242556281771951,0,1,0.125
138,tail_favored,tail_favored,0,0.04999999999999993,0.08912559175717061,0,1,0.1875
139,tail_favored,tail_favored,0,0.04999999999999993,0.07601410934744257,0,1,0.03125
140,tail_favored,tail_favored,0,0.04999999999999993,0.006790123456790198,0,1,0.0625
141,tail_favored,tail_favored,0,0.04999999999999993,0.13042328042328039,0,1,0.15625
142,tail_favored,tail_favored,0,0.04999999999999993,0.010784313725490158,0,1,0.125
